Lithuanian,English
ir,and
aš,I
tai,this
kad,that
tu,you
ne,no
taip,yes
jis,he
ką,what
čia,here
į,to
kaip,how
su,with
ar,whether
o,oh
man,for me
kas,what
gerai,good
mano,mine
bet,but
iš,from
mes,we
tik,only
tau,for you
ji,she
yra,is
jei,if
jie,they
tavo,yours
buvo,was
savo,own
kur,where
kai,when
dar,yet
mane,me
jūs,you
dabar,now
apie,about
viskas,everything
jį,him
tave,you
jo,his
jau,already
labai,very
to,that
ten,there
reikia,need
už,for
turi,have
kodėl,why
po,after
nieko,nothing
dėl,because of
mūsų,our
per,through
nors,although
gali,can
gal,maybe
na,well
jūsų,your
tikrai,really
ačiū,thank you
nori,wants
ko,what
nuo,from
turiu,I have
bus,will be
jos,her
štai,here it is
manęs,me
ją,her
būti,to be
mums,for us
jam,him
jums,to you
nes,because
visi,everyone
noriu,I want
juk,after all
žinai,you know
pone,sir
ei,hey
tiesiog,simply
tavęs,you
žinau,I know
tą,that
nagi,come on
nėra,no
ant,on
daug,a lot
viską,everything
tas,that one
tada,then
prie,at
iki,until
labas,hello
jų,their
nežinau,I don't know
prašau,please
juos,them
prieš,before
vienas,one
daugiau,more
galiu,I can
manau,I think
mus,us
vis,still
jus,you
negaliu,I can't
tiek,both
pas,at
pat,same
taigi,so
toks,such
net,even
be,without
dieve,god
kol,until
žinoma,of course
kiek,how much
koks,what
mama,mother
nei,than
esu,I am
pats,himself
būtų,would be
esi,you are
niekada,never
tiesa,truth
kartą,once
pasakyti,to say
jog,that
geriau,better
visą,whole
jai,for her
vieną,one
kada,when
šiandien,today
kuris,which
niekas,nobody
atsiprašau,I'm sorry.
turime,we have
eime,let's go
atrodo,looks
kuo,with what
negali,cannot
todėl,therefore
aišku,clear
žmonės,people
eik,go
greičiau,faster
metų,years
atleisk,forgive me
tuo,that
palauk,wait
arba,or
laiko,time
patinka,like
vėl,again
manai,you think
tėti,dad
jeigu,if
sveiki,hello
visai,at all
nereikia,no need
šį,this
kartu,together
puiku,great
visada,always
buvau,I was
du,two
kam,for whom
tuoj,soon
namo,home
ta,that
klausyk,listen
žmogus,person
tačiau,however
